OBJECTID,FID,id,lat,long,cbsaName,cbsaGUID,plantId,tabID,panelID,panelNumbe,hoverText,heading,weeklyImpr,productTyp,POINT_X,POINT_Y
65,129167,716336,47.692162,-122.305553,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,30852193,1121753,8125,LAKE CITY WY NE EL 20F N/O NE 88TH ST SF-1,S,56615,POSTERS,-13614991.88,6055793.508
66,129928,716838,47.571832,-122.327705,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130435,1076393,17620,WEST SEATTLE BRIDGE NL 40F W/O 5TH AV S WF-1,W,136132,BULLETINS,-13617457.83,6035916.25
67,126944,714891,47.571906,-122.333021,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130443,1072865,17666,WEST SEATTLE BRIDGE NL 332F E/O 1ST AV S EF-2 (TRIVISION),E,135292,POSTERS,-13618049.6,6035928.46
68,129244,716385,47.703083,-122.301918,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,129820,1075576,8289,LAKE CITY WY NE WL 409F S/O NE 104TH ST NF-1,N,116452,POSTERS,-13614587.23,6057599.811
69,129638,716655,47.642082,-122.375912,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130124,1076043,12420,15TH AV W EL 135F S/O GILMAN DR W NF-1,N,157047,BULLETINS,-13622824.21,6047515.254
70,134094,723641,47.621351,-122.347092,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002061868,130191,1098647,14027,BROAD ST NL 262F E/O 5TH AVE N WF-1 (TRIVISION),W,59873,POSTERS,-13619615.98,6044090.73
71,130057,716921,47.632689,-122.376342,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130137,1076539,12566,ELLIOTT AV W WL 307F S/O W GARFIELD ST SF-1,S,140132,BULLETINS,-13622872.08,6045963.47
72,129440,716526,47.662389,-122.34758,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130089,1075813,12042,AURORA AV N WL 70F N/O N 46TH ST SF-1,S,145029,POSTERS,-13619670.31,6050871.056
73,129340,716453,47.730634,-122.292069,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,129839,1075691,8503,LAKE CITY WY NE EL 188F N/O NE 140TH ST NF-1,N,111223,POSTERS,-13613490.85,6062158.353
74,129707,716697,47.70095,-122.355656,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130027,1076125,11108,GREENWOOD AV N WL 161F S/O N 100TH ST NF-2,N,49470,POSTERS,-13620569.32,6057246.989
75,129067,716273,47.661145,-122.317192,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,129785,1075364,7545,NE 45TH ST SL 133F E/O ROOSEVELT WY NE WF-1 (TRIVISION),W,141012,POSTERS,-13616287.53,6050665.443
76,128701,716013,47.545463,-122.28564,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,129716,1074894,6717,MLK JR WY S WL 268F S/O S GRAHAM ST NF-2,N,92689,POSTERS,-13612775.18,6031566.472
77,129166,716336,47.692162,-122.305553,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,129802,1075484,8123,LAKE CITY WY NE EL 20F N/O NE 88TH ST NF-1,N,57166,BULLETINS,-13614991.88,6055793.508
78,161532,723639,47.621775,-122.346537,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002061868,30916640,1154266,14006,HARRISON ST SL 40F W/O TAYLOR AVE N SW-1,SW,92851,POSTERS,-13619554.2,6044160.757
79,134091,723637,47.544569,-122.284556,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002061868,30548744,1098630,6701,MLK JR WY S EL 25F S/O S ANGEL PL SF-2,S,68287,POSTERS,-13612654.51,6031419.038
80,129389,716492,47.657242,-122.363378,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130082,1075753,11860,LEARY WY NW WL 133F N/O NW 41ST ST NF-2,N,100818,POSTERS,-13621428.93,6050020.373
81,134095,723642,47.618244,-122.330071,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002061868,130215,1098648,14261,DENNY WY SL 177F E/O STEWART ST EF-1,E,183980,BULLETINS,-13617721.21,6043577.607
82,128967,716205,47.61863,-122.32981,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130213,1075244,14240,DENNY WY NL 205F E/O STEWART ST WF-1 (TRIVISION),W,81333,POSTERS,-13617692.16,6043641.353
83,128652,715982,47.5697,-122.3401,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,30609439,1074836,16176,ALASKAN WY VIADUCT WL 100F N/O DUWAMISH AV S SF-1,S,177150,BULLETINS,-13618837.64,6035564.479
